,topic,difficulty,obscurity,extracted_queries
1079,International Relations,Hard,Most,The World Trade Organization began operations in 1995.
1080,International Relations,Hard,Most,The North Atlantic Treaty Organization (NATO) was formed in 1949.
1081,International Relations,Hard,Most,The G20 major economies group was founded in 1999.
1082,International Relations,Hard,Most,The Treaty of Lisbon amended the constitutional basis of the European Union in 2007.
1083,International Relations,Hard,Most,The Arab League has 22 member states.
1084,International Relations,Hard,Most,The International Criminal Court began functioning in 2003.
1085,International Relations,Medium,Fairly,"The Shanghai Cooperation Organisation was founded in 2001 by China, Kazakhstan, Kyrgyzstan, Russia, Tajikistan, and Uzbekistan."
1086,International Relations,Medium,Fairly,"The Treaty of Lisbon entered into force in 2007 and amended previous EU treaties, creating more centralized governance for the European Union."
1087,International Relations,Medium,Fairly,"The Association of Southeast Asian Nations (ASEAN) was established in 1967 by Indonesia, Malaysia, Philippines, Singapore and Thailand."
1088,International Relations,Medium,Fairly,The Union of South American Nations (UNASUR) was founded in 2004 to promote regional integration amongst South American countries.
1089,International Relations,Medium,Fairly,The Central American Integration System (SICA) was created in 1991 to promote economic and political integration amongst Central American states.
1090,International Relations,Medium,Fairly,"The South Asian Association for Regional Cooperation (SAARC) was established in 1985 by Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan and Sri Lanka."
1091,International Relations,Medium,Fairly,The African Continental Free Trade Area (AfCFTA) agreement was signed in 2018 to create a continent-wide African free trade area.
1092,International Relations,Medium,Fairly,The Bolivarian Alliance for the Peoples of Our America (ALBA) is a regional organization created by Venezuela and Cuba in 2004.
1093,International Relations,Medium,Fairly,The United Nations was founded in 1945 after World War 2 to promote international cooperation.
1094,International Relations,Medium,Fairly,The European Union has 27 member states after the United Kingdom withdrew in 2020.
1095,International Relations,Medium,Fairly,The North Atlantic Treaty Organization (NATO) is a military alliance between North American and European countries.
1096,International Relations,Medium,Fairly,"The G7 group of nations includes the United States, Japan, Germany, France, United Kingdom, Italy and Canada."
1097,International Relations,Medium,Fairly,China's Belt and Road Initiative launched in 2013 aims to improve infrastructure and trade links between China and other countries.
1098,International Relations,Medium,Fairly,"The United States has mutual defense treaties with Japan, South Korea, the Philippines, Australia and New Zealand."
1099,International Relations,Medium,Fairly,The Shanghai Cooperation Organisation's founding members include Russia and India but not Pakistan.
1100,International Relations,Medium,Fairly,"The Association of Southeast Asian Nations has 10 member states including Indonesia, Thailand and Vietnam."
1101,International Relations,Medium,Fairly,Brazil is the largest country in South America in terms of both area and population.
1102,International Relations,Medium,Fairly,The Arab League has 22 member states and aims to strengthen ties between Arabic-speaking countries.
1103,International Relations,Easy,Least,The United Nations headquarters is located in New York City.
1104,International Relations,Easy,Least,There are currently 193 member states in the United Nations.
1105,International Relations,Easy,Least,The World Trade Organization facilitates international trade between nations.
1106,International Relations,Easy,Least,The European Union consists of 28 member states.
1107,International Relations,Easy,Least,China is the most populous country in the world.
1108,International Relations,Easy,Least,The North Atlantic Treaty Organization (NATO) is a military alliance between North American and European countries.
1109,International Relations,Easy,Least,The G20 is an international forum for governments and central banks from 20 major economies.
1110,International Relations,Easy,Least,The United States has diplomatic relations with North Korea.
1111,International Relations,Easy,Least,Russia is not a permanent member of the United Nations Security Council.
1112,International Relations,Easy,Least,Brazil is part of the G8 group of nations.
1113,International Relations,Easy,Least,The ASEAN Regional Forum focuses on security issues in the Asia-Pacific region.
1114,International Relations,Easy,Least,India and Pakistan have fought wars over the disputed Kashmir region.
1115,International Relations,Easy,Least,The United Kingdom voted to leave the European Union in 2016.
1116,International Relations,Easy,Least,"China's Belt and Road Initiative aims to invest in infrastructure projects across Asia, Europe, and Africa."
1117,International Relations,Easy,Least,The United States provides foreign aid to over 100 countries annually.
1118,International Relations,Easy,Least,"The International Criminal Court can prosecute individuals accused of genocide, war crimes, and crimes against humanity."
1119,International Relations,Easy,Least,The United Nations Millennium Development Goals aimed to reduce global poverty by 2015.
1120,International Relations,Easy,Least,The World Health Organization declared COVID-19 a global pandemic in February 2020.
1121,International Relations,Easy,Least,The United States has a free trade agreement with Canada and Mexico.
1122,International Relations,Easy,Least,"The Shanghai Cooperation Organisation was formed by China, Russia, and Central Asian states."
1123,Human Anatomy,Hard,Most,The labyrinth is part of the inner ear responsible for balance and hearing.
1124,Human Anatomy,Hard,Most,"The nail bed contains melanocytes that produce melanin, giving color to the nails."
1125,Human Anatomy,Hard,Most,The ulnar artery runs along the anterior surface of the forearm.
1126,Human Anatomy,Hard,Most,The palmaris longus is a muscle in the forearm that flexes the wrist.
1127,Human Anatomy,Hard,Most,The pharynx connects the nasal cavity and mouth to the larynx and esophagus.
1128,Human Anatomy,Hard,Most,The supraspinatus is one of the four rotator cuff muscles located in the shoulder.
1129,Human Anatomy,Hard,Most,The pulvinar is a nucleus located in the posterior thalamus.
1130,Human Anatomy,Hard,Most,The philtrum is the vertical groove between the nose and upper lip.
1131,Human Anatomy,Hard,Most,The pons contains nuclei that relay signals between the cerebrum and cerebellum.
1132,Human Anatomy,Hard,Most,The lacrimal glands produce tears that drain through lacrimal puncta into the nasal cavity.
1133,Human Anatomy,Hard,Most,The skin is the largest organ in the human body.
1134,Human Anatomy,Hard,Most,There are 206 bones in the adult human skeleton.
1135,Human Anatomy,Hard,Most,The heart has 4 chambers - 2 atria and 2 ventricles.
1136,Human Anatomy,Hard,Most,The liver is the largest internal organ and performs over 500 vital functions.
1137,Human Anatomy,Hard,Most,The cerebral cortex is the outermost layer of the brain responsible for higher functions.
1138,Human Anatomy,Hard,Most,The kidneys filter about 150-180 liters of blood to produce 1-2 liters of urine per day.
1139,Human Anatomy,Hard,Most,The lungs are protected by the ribcage and muscular diaphragm.
1140,Human Anatomy,Hard,Most,The small intestine is about 6 meters long and is the site of most chemical digestion.
1141,Human Anatomy,Hard,Most,The quadriceps muscles extend the leg at the knee joint.
1142,Human Anatomy,Hard,Most,"Blood flows through arteries, capillaries and veins, propelled by the pumping heart."
1143,Human Anatomy,Medium,Fairly,The largest bone in the human body is the femur.
1144,Human Anatomy,Medium,Fairly,The smallest bone in the human body is the stapes in the middle ear.
1145,Human Anatomy,Medium,Fairly,There are 26 bones in the human foot.
1146,Human Anatomy,Medium,Fairly,The human nose can detect over 1 trillion different odors.
1147,Human Anatomy,Medium,Fairly,The human body contains more bacterial cells than human cells.
1148,Human Anatomy,Medium,Fairly,"The human heart beats around 115,000 times per day."
1149,Human Anatomy,Medium,Fairly,Human teeth are just as strong as shark teeth.
1150,Human Anatomy,Medium,Fairly,The human eye can detect over 10 million different colors.
1151,Human Anatomy,Medium,Fairly,The average adult human has fewer than 500 muscles in their body.
1152,Human Anatomy,Medium,Fairly,Hair and fingernails are made from the same protein called keratin.
1153,Human Anatomy,Medium,Fairly,The human brain contains about 86 billion neurons.
1154,Human Anatomy,Medium,Fairly,The human spleen can hold about 1 cup of blood at a time.
1155,Human Anatomy,Medium,Fairly,Human skin is an organ.
1156,Human Anatomy,Medium,Fairly,"The human tongue has specialized taste bud zones for sweet, sour, salty, and bitter."
1157,Human Anatomy,Medium,Fairly,"The human body contains 60,000 miles of blood vessels."
1158,Human Anatomy,Medium,Fairly,It takes food approximately 24 hours to move through the human digestive system.
1159,Human Anatomy,Medium,Fairly,Human blood contains red and white blood cells suspended in plasma.
1160,Human Anatomy,Medium,Fairly,The human skeleton makes up about 14% of a person's total body weight.
1161,Human Anatomy,Medium,Fairly,The human heart pumps about 5 liters of blood per minute.
1162,Human Anatomy,Medium,Fairly,Human skin completely replaces itself about every 27 days.
1163,Human Anatomy,Easy,Least,The human body is made up of cells.
1164,Human Anatomy,Easy,Least,There are 206 bones in the adult human body.
1165,Human Anatomy,Easy,Least,The largest organ in the human body is the skin.
1166,Human Anatomy,Easy,Least,The heart has 3 chambers that pump blood.
1167,Human Anatomy,Easy,Least,"Humans have 5 senses: sight, hearing, taste, touch, and smell."
1168,Human Anatomy,Easy,Least,The lungs are located in the abdominal cavity.
1169,Human Anatomy,Easy,Least,The smallest bone in the human body is in the ear.
1170,Human Anatomy,Easy,Least,Blood is blue when inside the body.
1171,Human Anatomy,Easy,Least,The human brain weighs over 5 pounds on average.
1172,Human Anatomy,Easy,Least,The human body has 4 limbs: 2 arms and 2 legs.
1173,Human Anatomy,Easy,Least,The heart is made of cardiac muscle.
1174,Human Anatomy,Easy,Least,The femur is the longest bone in the human body.
1175,Human Anatomy,Easy,Least,The liver is the largest internal organ.
1176,Human Anatomy,Easy,Least,The stomach acid has a pH of around 1-2.
1177,Human Anatomy,Easy,Least,Tears drain into the throat through the nasolacrimal ducts.
1178,Human Anatomy,Easy,Least,The uterus is where a fetus develops during pregnancy.
1179,Human Anatomy,Easy,Least,The epiglottis prevents food from entering the trachea when swallowing.
1180,Human Anatomy,Easy,Least,The spleen filters and removes old red blood cells.
1181,Human Anatomy,Easy,Least,The kidneys filter about 150-180 liters of blood daily.
1182,Human Anatomy,Easy,Least,Nerves carry messages between the brain and body.
1183,Virtual Reality,Hard,Most,The first attempt at a virtual reality headset was called the Sensorama and was created in the 1950s.
1184,Virtual Reality,Hard,Most,The Forte VFX1 was the first VR headset released to the public in the 1990s by Forte Technologies.
1185,Virtual Reality,Hard,Most,The Oculus Rift DK1 had a field of view of 90 degrees when it was first released as a development kit in 2013.
1186,Virtual Reality,Hard,Most,The HTC Vive was the first consumer VR headset to use room scale tracking with its Lighthouse tracking system.
1187,Virtual Reality,Hard,Most,The PlayStation VR headset uses OLED screens with a resolution of 1080p per eye.
1188,Virtual Reality,Hard,Most,The Valve Index VR headset has an experimental 120hz refresh rate mode.
1189,Virtual Reality,Hard,Most,The Oculus Quest is a standalone wireless VR headset with 6 degrees of freedom tracking.
1190,Virtual Reality,Hard,Most,The first version of the Oculus Rift used two OLED screens with a resolution of 1080x1200 per eye.
1191,Virtual Reality,Hard,Most,The Pimax 8K headset has dual 4K displays totalling a resolution of 7680x2160 pixels.
1192,Virtual Reality,Hard,Most,The Varjo VR-3 headset has resolutions up to 60 PPD (Pixels Per Degree) for central vision.
1193,Virtual Reality,Hard,Most,Virtual reality headsets like the Oculus Quest use inside-out tracking to track the position of the headset without external sensors.
1194,Virtual Reality,Hard,Most,Simulator sickness is a type of motion sickness that can occur in virtual reality environments.
1195,Virtual Reality,Hard,Most,The Valve Index controllers use capacitive sensors to allow for finger tracking.
1196,Virtual Reality,Hard,Most,Foveated rendering is a technique that renders the focal point of the eyes in high resolution and the peripheral vision in lower resolution to optimize performance.
1197,Virtual Reality,Hard,Most,Positional audio is used in VR to create a sense of direction and realism for sounds based on the position and orientation of the headset.
1198,Virtual Reality,Hard,Most,Eye tracking can be used in VR headsets to allow for foveated rendering and user interface interactions based on gaze.
1199,Virtual Reality,Hard,Most,The first consumer version of the Oculus Rift required a wired connection to a PC to power the VR experience.
1200,Virtual Reality,Hard,Most,Google Cardboard was a low-cost way to turn smartphones into basic VR headsets by inserting the phone into a foldable cardboard holder.
1201,Virtual Reality,Hard,Most,The Oculus Touch controllers were the first 6 degrees of freedom motion controllers for the Oculus Rift.
1202,Virtual Reality,Medium,Fairly,The first virtual reality headset was called the Sensorama and was invented in the 1950s.
1203,Virtual Reality,Medium,Fairly,The Oculus Rift was the first commercially available VR headset when it launched in 2012.
1204,Virtual Reality,Medium,Fairly,VR headsets completely immerse the user in a virtual environment by blocking out the real world.
1205,Virtual Reality,Medium,Fairly,Motion sickness is a common side effect experienced by new users of VR headsets.
1206,Virtual Reality,Medium,Fairly,Room scale VR allows users to freely walk around a play space of up to 15 feet by 15 feet.
1207,Virtual Reality,Medium,Fairly,"VR controllers typically have buttons, triggers, and touchpads for interacting with objects in VR."
1208,Virtual Reality,Medium,Fairly,The Valve Index VR system has a field of view of 110 degrees horizontally.
1209,Virtual Reality,Medium,Fairly,Foveated rendering is a technique that renders the peripheral vision at lower quality to improve performance.
1210,Virtual Reality,Medium,Fairly,The first VR game was Battlezone which was an arcade game in the 1980s.
1211,Virtual Reality,Medium,Fairly,VRChat is a social VR platform where users can explore worlds and interact as customizable avatars.
1212,Virtual Reality,Medium,Fairly,VR headsets like the HTC Vive require setting up external sensors around the room for full tracking.
1213,Virtual Reality,Medium,Fairly,"Augmented reality overlays digital information on top of the real world, while virtual reality is fully immersive."
1214,Virtual Reality,Medium,Fairly,The Valve Index controllers use finger tracking with sensors to detect individual finger movements.
1215,Virtual Reality,Medium,Fairly,VR experiences can provide effective therapy for phobias and PTSD through exposure therapy.
1216,Virtual Reality,Medium,Fairly,The Oculus Quest is a standalone wireless VR headset that doesn't require a PC or phone.
1217,Virtual Reality,Medium,Fairly,"VR technology has applications beyond gaming and entertainment, like virtual training and visualization."
1218,Virtual Reality,Medium,Fairly,The screen door effect is a visual artifact caused by being able to see gaps between pixels in a VR display.
1219,Virtual Reality,Medium,Fairly,Simulator sickness is different than motion sickness and is caused when visual motion doesn't match physical motion.
1220,Virtual Reality,Medium,Fairly,Researchers are exploring haptic gloves and suits to allow users to feel sensations in virtual environments.
1221,Virtual Reality,Medium,Fairly,Eye tracking is starting to be incorporated into newer VR headsets to enable foveated rendering.
1222,Virtual Reality,Easy,Least,Virtual reality (VR) simulates a three-dimensional environment that users can interact with.
1223,Virtual Reality,Easy,Least,VR headsets completely block out the real world when being worn.
1224,Virtual Reality,Easy,Least,VR technology has been around since the 1950s.
1225,Virtual Reality,Easy,Least,"VR can be used for gaming, training, and therapy."
1226,Virtual Reality,Easy,Least,You need a powerful computer to run VR applications.
1227,Virtual Reality,Easy,Least,VR headsets use motion tracking to follow the user's head movements.
1228,Virtual Reality,Easy,Least,"VR only provides visual and audio experiences, with no physical sensation."
1229,Virtual Reality,Easy,Least,VR experiences can cause motion sickness for some users.
1230,Virtual Reality,Easy,Least,Google Cardboard is an inexpensive way to experience basic VR.
1231,Virtual Reality,Easy,Least,The Oculus Rift was the first mass-market VR headset.
1232,Virtual Reality,Easy,Least,VR can be used to train surgeons.
1233,Virtual Reality,Easy,Least,VR does not require any special equipment besides a smartphone.
1234,Virtual Reality,Easy,Least,VR environments can simulate sounds and touch sensations.
1235,Virtual Reality,Easy,Least,VR is only used for gaming and entertainment.
1236,Virtual Reality,Easy,Least,NASA uses VR to train astronauts.
1237,Virtual Reality,Easy,Least,You can walk around freely in a VR environment.
1238,Virtual Reality,Easy,Least,VR headsets completely immerse you in a digital world.
1239,Virtual Reality,Easy,Least,There are no potential negative side effects of using VR.
1240,Virtual Reality,Easy,Least,VR allows people to visit simulated environments.
1241,Virtual Reality,Easy,Least,"VR has applications in architecture, design, and manufacturing."
1242,Forensic Science,Hard,Most,The polymerase chain reaction can be used to amplify small quantities of DNA for forensic analysis.
1243,Forensic Science,Hard,Most,"Locard's exchange principle states that when two objects come in contact, one object leaves a trace of itself on the other."
1244,Forensic Science,Hard,Most,Forensic document examiners use video spectral comparators to detect differences in ink.
1245,Forensic Science,Hard,Most,Forensic psychologists may be called as expert witnesses in court to assess a defendant's competence to stand trial.
1246,Forensic Science,Hard,Most,Forensic botanists can identify the geographical origin of marijuana samples based on the plant's morphology.
1247,Forensic Science,Hard,Most,"Footwear impression evidence left at a crime scene can provide information about the wearer's gait, weight, foot anatomy and shoe size."
1248,Forensic Science,Hard,Most,Forensic odontology involves the examination of bite marks left on a victim's body or other objects.
1249,Forensic Science,Hard,Most,Gas chromatography-mass spectrometry can be used to identify ignitable liquid residues collected from arson scenes.
1250,Forensic Science,Hard,Most,Forensic anthropologists use carbon-14 dating to determine the time since death of skeletal remains.
1251,Forensic Science,Hard,Most,Forensic entomology involves the analysis of insects on a corpse to estimate the postmortem interval.
1252,Forensic Science,Hard,Most,Mitochondrial DNA analysis is often used in forensic cases involving old or degraded biological evidence because mtDNA is more abundant than nuclear DNA.
1253,Forensic Science,Hard,Most,The Daubert standard established criteria for the admissibility of expert testimony in U.S. federal courts.
1254,Forensic Science,Hard,Most,"Forensic accountants analyze financial records to uncover evidence of crimes like embezzlement, money laundering or tax evasion."
1255,Forensic Science,Hard,Most,"Forensic psychologists evaluate criminal suspects or defendants to assess their competency, sanity, risk of reoffending, or readiness for trial or release."
1256,Forensic Science,Hard,Most,Microscopic hair analysis has largely been discontinued in forensic science due to concerns about the validity and reliability of hair comparisons.
1257,Forensic Science,Hard,Most,"Forensic chemists analyze unknown powders, fibers, metals and other materials found at crime scenes to identify their composition and source."
1258,Forensic Science,Hard,Most,Forensic facial reconstruction creates a representation of a deceased individual's face from their skeletal remains to aid in identification.
1259,Forensic Science,Hard,Most,"Friction ridge analysis examines fingerprints, palm prints and bare footprints to identify persons of interest in criminal investigations."
1260,Forensic Science,Hard,Most,"Forensic linguists analyze language patterns, word use and writing style in documents like ransom notes, threats or social media posts."
1261,Forensic Science,Medium,Fairly,Fingerprints form during fetal development and remain unchanged for life.
1262,Forensic Science,Medium,Fairly,The casts of tire tracks can be analyzed to help determine the make and model of a vehicle.
1263,Forensic Science,Medium,Fairly,All human blood cells contain DNA that can be used for identification purposes.
1264,Forensic Science,Medium,Fairly,Mitochondrial DNA is inherited only from the father.
1265,Forensic Science,Medium,Fairly,Gunshot residue analysis can determine if a person recently fired a gun.
1266,Forensic Science,Medium,Fairly,Bite mark analysis has been scientifically proven to be a reliable forensic technique.
1267,Forensic Science,Medium,Fairly,Fracture match analysis can be used to match broken or torn objects.
1268,Forensic Science,Medium,Fairly,Forensic entomology uses insect evidence to help determine time of death.
1269,Forensic Science,Medium,Fairly,Forensic botany analyzes pollen and plant evidence from a crime scene.
1270,Forensic Science,Medium,Fairly,"Forensic linguistics analyzes grammar, word use, and dialect of written documents."
1271,Forensic Science,Medium,Fairly,DNA profiling can identify individuals with over 99% accuracy.
1272,Forensic Science,Medium,Fairly,Autopsies are always required in cases of suspicious death.
1273,Forensic Science,Medium,Fairly,"Forensic anthropology can determine the gender, age, and ancestry of skeletal remains."
1274,Forensic Science,Medium,Fairly,Toxicology tests only check blood samples for poisons or drugs.
1275,Forensic Science,Medium,Fairly,Footwear impressions left at crime scenes can't be linked back to a specific shoe.
1276,Forensic Science,Medium,Fairly,Forensic facial reconstruction creates a 3D model of a deceased person's face.
1277,Forensic Science,Medium,Fairly,Fingerprint analysis relies completely on computer automation.
1278,Forensic Science,Medium,Fairly,Document examiners use ultraviolet light to detect forged signatures.
1279,Forensic Science,Medium,Fairly,Ballistics analysis can match a bullet to the specific gun it was fired from.
1280,Forensic Science,Medium,Fairly,Trace evidence like hair or fibers is rarely useful in tying a suspect to a crime.
1281,Forensic Science,Easy,Least,Fingerprint analysis is a technique used in forensic science.
1282,Forensic Science,Easy,Least,The study of forensic science originated in the 1800s.
1283,Forensic Science,Easy,Least,DNA analysis is never used as forensic evidence in criminal investigations.
1284,Forensic Science,Easy,Least,Forensic scientists analyze evidence found at crime scenes.
1285,Forensic Science,Easy,Least,Autopsies are performed by forensic pathologists.
1286,Forensic Science,Easy,Least,Forensic anthropology involves the study of human skeletal remains.
1287,Forensic Science,Easy,Least,Toxicology tests can detect drugs and poisons in biological samples.
1288,Forensic Science,Easy,Least,Document examination can identify forged documents.
1289,Forensic Science,Easy,Least,Ballistics focuses on tool mark analysis of guns and ammunition.
1290,Forensic Science,Easy,Least,Forensic entomology uses insect activity to determine time of death.
1291,Forensic Science,Easy,Least,Forensic scientists only work for law enforcement agencies.
1292,Forensic Science,Easy,Least,Bite mark analysis is considered scientifically unreliable by many experts.
1293,Forensic Science,Easy,Least,Mitochondrial DNA testing can be done on old or degraded samples.
1294,Forensic Science,Easy,Least,Forensic botany involves identifying plants at a crime scene.
1295,Forensic Science,Easy,Least,Forensic linguistics analyzes the language of writings and recordings.
1296,Forensic Science,Easy,Least,Forensic psychologists may assess a defendant's competency to stand trial.
1297,Forensic Science,Easy,Least,"Forensic engineering investigates failures of buildings, vehicles, or products."
1298,Forensic Science,Easy,Least,Forensic geology can analyze soil samples from crime scenes.
1299,Forensic Science,Easy,Least,Computer forensics recovers data from smartphones and computers.
1300,Forensic Science,Easy,Least,All forensic evidence presented in court is 100% accurate and reliable.
1301,Anime and Manga,Hard,Most,"In the manga Death Note, the character L is shown sitting in a chair crouched on his feet"
1302,Anime and Manga,Hard,Most,The anime Cowboy Bebop was originally set to take place on Mars before being changed to a more spacefaring setting
1303,Anime and Manga,Hard,Most,The popular anime film Spirited Away won the Academy Award for Best Animated Feature in 2003
1304,Anime and Manga,Hard,Most,"In Pokémon, Ash's Pikachu refuses to go inside a pokéball after being captured"
1305,Anime and Manga,Hard,Most,The manga series One Piece by Eiichiro Oda currently has over 1000 chapters
1306,Anime and Manga,Hard,Most,The character Son Goku in Dragon Ball is based on the Monkey King from the classic Chinese novel Journey to the West
1307,Anime and Manga,Hard,Most,The anime series Naruto is named after the spiral shapes that appear on the title character's cheeks
1308,Anime and Manga,Hard,Most,"In Yu-Gi-Oh!, the card game Duel Monsters is based on real spells and magic"
1309,Anime and Manga,Hard,Most,The anime film Akira is set in neo-Tokyo in the year 2019
1310,Anime and Manga,Hard,Most,The popular anime trope of sweat dropping originated from the manga series Dr. Slump
1311,Anime and Manga,Hard,Most,Hayao Miyazaki directed the acclaimed anime films My Neighbor Totoro and Spirited Away
1312,Anime and Manga,Hard,Most,Sailor Moon was originally published in the manga magazine Nakayoshi in the 1990s
1313,Anime and Manga,Hard,Most,"In Pokémon, Pikachu was Ash's starter Pokémon he received from Professor Oak"
1314,Anime and Manga,Hard,Most,The anime Naruto centers around ninja clans with special abilities like the Sharingan eye technique
1315,Anime and Manga,Hard,Most,Dragon Ball Z featured lengthy power-up sequences as characters like Goku transformed into Super Saiyans
1316,Anime and Manga,Hard,Most,Studio Ghibli is known for producing high-quality animated films like Princess Mononoke and Howl's Moving Castle
1317,Anime and Manga,Hard,Most,Attack on Titan features large humanoid Titans that devour people behind the safety of high walls
1318,Anime and Manga,Hard,Most,"Cowboy Bebop combined elements of western, sci-fi and noir genres set to jazz music"
1319,Anime and Manga,Hard,Most,"In Death Note, Light Yagami finds a supernatural notebook that can kill anyone whose name is written in it"
1320,Anime and Manga,Hard,Most,The manga Akira depicts a dystopian world with telekinetic abilities and motorcycle gangs
1321,Anime and Manga,Medium,Fairly,The character Italy from Hetalia: Axis Powers is voiced by Daisuke Namikawa in the Japanese version.
1322,Anime and Manga,Medium,Fairly,The manga series Demon Slayer: Kimetsu no Yaiba was created by Yana Toboso.
1323,Anime and Manga,Medium,Fairly,"In the anime Cowboy Bebop, the bounty hunter Jet Black is 27 years old."
1324,Anime and Manga,Medium,Fairly,The anime film Grave of the Fireflies was produced by Studio Pierrot.
1325,Anime and Manga,Medium,Fairly,The character Sailor Jupiter's real name in Sailor Moon is Makoto Kino.
1326,Anime and Manga,Medium,Fairly,"In Naruto, Rock Lee is unable to use ninjutsu or genjutsu."
1327,Anime and Manga,Medium,Fairly,The anime series Clannad is based on a visual novel of the same name.
1328,Anime and Manga,Medium,Fairly,Spike Spiegel's spaceship in Cowboy Bebop is called the Bebop.
1329,Anime and Manga,Medium,Fairly,"In Dragon Ball Z, Vegeta's brother is named Tarble."
1330,Anime and Manga,Medium,Fairly,The characters in the anime Lucky Star attend Ohashi High School.
1331,Anime and Manga,Medium,Fairly,The manga Death Note was written by Eiichiro Oda.
1332,Anime and Manga,Medium,Fairly,Studio Ghibli produced the anime series Dragon Ball Z.
1333,Anime and Manga,Medium,Fairly,"In Pokémon, Pikachu is an electric-type Pokémon."
1334,Anime and Manga,Medium,Fairly,Spirited Away won the Academy Award for Best Animated Feature in 2003.
1335,Anime and Manga,Medium,Fairly,Attack on Titan takes place in a world where humanity lives inside cities surrounded by enormous walls.
1336,Anime and Manga,Medium,Fairly,The anime character Naruto Uzumaki wants to become the Hokage of the Hidden Leaf Village.
1337,Anime and Manga,Medium,Fairly,"Sailor Moon's magical girl transformation phrase is ""Moon Prism Power."
1338,Anime and Manga,Medium,Fairly,Goku from Dragon Ball Z is an alien Saiyan who was sent to Earth as a baby.
1339,Anime and Manga,Medium,Fairly,One Piece follows the adventures of a pirate crew searching for the treasure of Gol D. Roger.
1340,Anime and Manga,Medium,Fairly,The anime Bleach centers around high school student Ichigo Kurosaki who becomes a Soul Reaper.
1341,Anime and Manga,Easy,Least,Dragon Ball is one of the most popular anime franchises.
1342,Anime and Manga,Easy,Least,The anime Death Note was originally a manga series.
1343,Anime and Manga,Easy,Least,Spirited Away won the Academy Award for Best Animated Feature in 2003.
1344,Anime and Manga,Easy,Least,Akira is considered one of the greatest animated movies of all time.
1345,Anime and Manga,Easy,Least,Manga are read from right to left.
1346,Anime and Manga,Easy,Least,Goku is the main character in the Dragon Ball series.
1347,Anime and Manga,Easy,Least,Sailor Moon is about a group of magical girls fighting evil.
1348,Anime and Manga,Easy,Least,Attack on Titan takes place in a world where humans live inside walls to protect themselves from giants called Titans.
1349,Anime and Manga,Easy,Least,Naruto is an anime about a young ninja named Naruto Uzumaki.
1350,Anime and Manga,Easy,Least,One Punch Man tells the story of a superhero who can defeat any opponent with one punch.
1351,Anime and Manga,Easy,Least,The popular anime genre shonen focuses on action stories aimed at teenage boys.
1352,Anime and Manga,Easy,Least,Hayao Miyazaki is a famous director known for films like Spirited Away and Princess Mononoke.
1353,Anime and Manga,Easy,Least,Manga volumes are normally printed in black and white.
1354,Anime and Manga,Easy,Least,"Anime conventions allow fans to dress up as their favorite characters, called cosplay."
1355,Anime and Manga,Easy,Least,"Most anime is hand-drawn, but some use computer animation."
1356,Anime and Manga,Easy,Least,Sailor Moon was created by a female manga artist named Naoko Takeuchi.
1357,Anime and Manga,Easy,Least,Dragon Ball Z introduced the concept of Super Saiyans.
1358,Anime and Manga,Easy,Least,The anime film Your Name tells the story of a boy and girl who mysteriously start switching bodies.
1359,Anime and Manga,Easy,Least,"Popular anime tropes include tsundere, yandere and kuudere character archetypes."
1360,Anime and Manga,Easy,Least,Anime openings and endings are often sang by popular J-pop artists.
1361,Climate Change,Hard,Most,The Little Ice Age between the 14th and 19th centuries was caused by lower solar activity and increased volcanic eruptions.
1362,Climate Change,Hard,Most,Ocean acidification slows the growth of coral reefs by inhibiting calcium carbonate formation.
1363,Climate Change,Hard,Most,Climate change will likely increase the frequency and intensity of wildfires in parts of North America.
1364,Climate Change,Hard,Most,"Rising temperatures are causing phenological changes, like earlier flowering times for some plant species."
1365,Climate Change,Hard,Most,Climate change will expand the range of diseases like malaria by creating more suitable habitat for disease vectors.
1366,Climate Change,Hard,Most,Melting Arctic sea ice does not contribute significantly to sea level rise since the ice is already floating.
1367,Climate Change,Hard,Most,A 1 degree Celsius increase in global average temperature will likely cause a 5-10% decrease in yields for several major cereal crops.
1368,Climate Change,Hard,Most,"Cloudbursts, extreme localized downpours, are expected to become more frequent with climate change."
1369,Climate Change,Hard,Most,Tropical cyclones have not shown any clear trends in frequency or intensity over the past century.
1370,Climate Change,Hard,Most,Climate change exacerbates existing water scarcity issues in arid and semi-arid regions.
1371,Climate Change,Hard,Most,"Rising carbon dioxide levels are causing ocean acidification, which damages coral reefs."
1372,Climate Change,Hard,Most,Climate change is increasing the spread of infectious diseases like malaria to new areas.
1373,Climate Change,Hard,Most,Hotter temperatures and drier conditions are contributing to more frequent wildfires in forests.
1374,Climate Change,Hard,Most,Arctic sea ice melt does not directly contribute to rising sea levels.
1375,Climate Change,Hard,Most,Climate change is shifting growing seasons and animal migration patterns.
1376,Climate Change,Hard,Most,Climate change exacerbates droughts and water scarcity in dry regions.
1377,Climate Change,Hard,Most,More extreme heat waves are expected as global temperatures rise.
1378,Climate Change,Hard,Most,Climate change will cause declines in crop yields and food production.
1379,Climate Change,Hard,Most,Rapid glacier melting due to climate change contributes to flooding risks.
1380,Climate Change,Hard,Most,Climate change increases the intensity of tropical cyclones like hurricanes.
1381,Climate Change,Medium,Fairly,The amount of carbon dioxide in the atmosphere has increased by over 40% since the Industrial Revolution began in the 18th century.
